Common Name	Scientific Name	Accepted Scientific Name	GBIF ID	Accepted GBIF ID	GBIF Status	Wood Density	Wikidata ID
Olho de cabra	Ormosia dasycarpa	Ormosia monosperma (Sw.) Urb.	5355531	5355529	SYNONYM	0.668	Q50850040
Peroba rosa	Aspidosperma polyneuron	Aspidosperma polyneuron Müll.Arg.	7316900	7316900	ACCEPTED	0.858	Q2719026
Pinheiro	Likely includes	Likely includes				0.762	
Pirema grande	Quiina longifolia	Quiina longifolia Spruce ex Planch. & Triana	3986500	3986500	ACCEPTED	0.59	Q15374879
Quina brava	Not explicitly	Not explicitly				0.808	
Saguaragy	Colubrina rufa	Colubrina glandulosa var. antillana (M.C.Johnst.) M.C.Johnst.	5602998	5603142	SYNONYM	0.903	Q111077867
Tamboril	Enterolobium timbouva	Enterolobium timbouva Mart.	2961144	2961144	ACCEPTED	0.35	Q10382525
Tapiá	Alchornea pycnogyne	Alchornea sidifolia Müll.Arg.	3055494	3055491	SYNONYM	0.432	Q110381854
Taruman	Vitex sellowiana	Vitex sellowiana Cham.	7309234	7309234	ACCEPTED	0.77	Q15375882
Tayuva	Not explicitly	Not explicitly				0.93	
